[1]罗云萍,王威. miR#100抑制剂在降低癌症转移中的用途[P]. 北京：CN106244679A,2016-12-21.
[319]让-菲利普·沙里耶,热纳维耶芙·肖凯-卡斯特洛夫斯基,唐吉·佛丁,哈德尔·海杜斯,杰罗姆·莱莫恩,阿诺·萨尔瓦多,让·费弗尔. 用于检测结直肠病变的方法[P]. 法国：CN104969072A,2015-10-07.

[320]L·I·吴. 吉西他滨前药及其用途[P]. 台湾：CN104968353A,2015-10-07.

[321]M.普利奇,C.马基奥尼,G.特拉昆迪. 作为蛋白激酶抑制剂的3,4-二芳基吡唑的亚磺酰氨基衍生物[P]. 意大利：CN104958294A,2015-10-07.

[322]王兴文. 一种治疗胃癌的中药组合物及其制备方法[P]. 山东：CN104958537A,2015-10-07.

[323]Y-L·李,B·W·梅特卡尔夫,A·P·坎布斯. 作为PI3K抑制剂的嘧啶酮类[P]. 美国：CN104945420A,2015-09-30.

[324]Z·索. 取代的吉西他滨芳基酰胺类似物和使用所述类似物的治疗方法[P]. 美国：CN104955458A,2015-09-30.

[325]余大海,康旺,李胜,李志刚. 一种阿法替尼二马来酸盐的结晶形式及其制备方法[P]. 河北：CN104926800A,2015-09-23.

[326]S·洛穆肖,H·马,M·A·马切特,H·K·桑都,N·H·沙,Y-E·张. 具有改善的生物利用度的药物组合物[P]. 瑞士：CN104936589A,2015-09-23.

[327]M·T·比洛多,S·卡迪亚拉,R·欣德,B·怀特,R·伍斯特,T·E·巴德特,B·莫罗. 包封在颗粒中的靶向缀合物及其制剂[P]. 美国：CN104936622A,2015-09-23.

[328]王建莉,杨菲,蔡志坚. 一种高质量外排体及其制备方法[P]. 浙江：CN104894067A,2015-09-09.

[329]黄三文,周渊,曾建国,尚轶,马永硕. 葫芦素C及其类似物的制备方法与应用[P]. 北京：CN104892713A,2015-09-09.

[330]S.艾伦,S.W.安德鲁斯,J.F.布莱克,B.J.布兰德休伯,J.哈斯,Y.江,T.克尔彻,G.R.科拉科斯基,A.A.托马斯,S.L.温斯基. 可用于治疗疼痛的双环脲、硫脲、胍及氰基胍化合物[P]. 美国：CN104903310A,2015-09-09.

[331]J.金,K.刘,M.波于罗夫斯基,D.卢,Z.朱. RHO激酶抑制剂[P]. 美国：CN104903312A,2015-09-09.

[332]托马斯·日姆斯基,亚德里恩·扎伦布斯基,阿格尼斯卡·德烈亚斯,卡罗利娜·奥索夫斯卡,卡塔日娜·库茨魏,乔安娜·福格特,马雷克·乔洛迪,米夏尔·加莱佐夫斯基,沃伊切赫·察尔迪邦,雷蒙德·霍尔瓦特,卡塔日娜·维克利克,马里乌什·米利克,克日什托夫·布若佐卡. 作为激酶抑制剂的经取代三环苯并咪唑[P]. 波兰：CN104903321A,2015-09-09.

[333]C·邦尼,F·舍诺. C4S蛋白聚糖特异性转运载体分子[P]. 瑞士：CN104903342A,2015-09-09.

[334]克劳迪娅·伊芙·卡塞拉. 在肾损伤的受试者中用泊马度胺治疗癌症[P]. 美国：CN104902754A,2015-09-09.

[335]陈士林,胡志刚,孙伟,汪波,贺海波,涂媛,郭力城. 用于快速鉴别圆叶牵牛和裂叶牵牛的分子标记物及方法[P]. 北京：CN104878001A,2015-09-02.

[336]王少萌,余尚海,孙威,S.库玛,孙笃新,P.邹,赵玉军,D.麦凯克伦. 螺-吲哚酮MDM2拮抗剂[P]. 美国：CN104876938A,2015-09-02.

[337]陈星宏. 一种高纯正葡萄酒生产工艺[P]. 浙江：CN104877845A,2015-09-02.

[338]郑硕,马帅. 一种治疗放射性肺炎的中药制剂[P]. 山东：CN104873912A,2015-09-02.

[339]H·恩格尔哈特,C·斯梅瑟斯特,D·詹尼. 三唑并吡嗪[P]. 德国：CN104870448A,2015-08-26.

[340]戴恩·高夫,张静,凯瑟琳·希尔维安,拉金德尔·辛格,萨卡·霍兰,余家新,希洛·海克洛特,丁平羽. 用作AXL抑制剂的取代三唑[P]. 美国：CN104860930A,2015-08-26.

[341]B·E·汤米克祖克,G·L·奥逊,R·S·波特夫,J·王,B·R·那拉干储. 精氨酸酶抑制剂及其使用方法[P]. 瑞典：CN104857005A,2015-08-26.

[342]彼得·提罗什,什洛莫·普莱班. 用于癌症的组合疗法[P]. 以色列：CN104869986A,2015-08-26.

[343]约翰·埃里克森,普里赛·保罗,伊米莉亚·佩乌胡,M·A·阿卡巴尔沙. 防风草酸的药物组合物及其应用[P]. 芬兰：CN104869991A,2015-08-26.

[344]何庆瑜,钟颖. KCTD12蛋白在细胞周期调控中新应用[P]. 广东：CN104844705A,2015-08-19.

[345]A·V·加瓦伊. 氟烷基二苯并二氮杂*酮化合物[P]. 美国：CN104854094A,2015-08-19.

[346]刘青松,刘静,张欣,梁小飞,刘晓川,刘娟娟,陈程,赵铮,王傲莉,王文超,吴宏,王蓓蕾,王黎. 一种新型的PI3K激酶抑制剂[P]. 安徽：CN104844589A,2015-08-19.

[347]D·M·戈德斯坦,K·A·布拉梅尔德,T·欧文斯. 作为JAK3抑制剂的氮杂吲哚衍生物[P]. 美国：CN104853754A,2015-08-19.

[348]陆永良,戴利成,钟婧,蒋培余,张红. 一种检测磷脂混杂酶对肝癌细胞影响的检测方法[P]. 浙江：CN104830965A,2015-08-12.

[349]段文虎,丁健,吕永聪,谢华. 苯胺嘧啶类化合物、其制备方法和医药用途[P]. 上海：CN104829542A,2015-08-12.

[350]S·奥格洛德金斯基,P·史密斯,S·麦基翁,L·帕特森,R·J·埃林顿. 新型化合物及其用途[P]. 英国：CN104837814A,2015-08-12.

[351]刘颖,刘登科,刘冰妮,王兵,樊梦林. 含磺酰胺基的四氢噻吩并[2,3-c]吡啶衍生物、其制备方法和用途[P]. 天津：CN104829629A,2015-08-12.

[352]U.克拉尔,L.沃特曼,G.克特绍,F.皮勒,P.利瑙,K.佩特森,A.赫格巴特,D.聚尔茨勒,K.格雷厄姆,A.里希特. 用于治疗过度增殖性疾病的取代的吲唑-吡咯并嘧啶[P]. 德国：CN104837841A,2015-08-12.

[353]金世美,金相直,闵惠真,宋镇明,李正源,金惠珍,安惠美,崔仁杓,柳知惠. 特异性结合TM4SF5蛋白的新型单克隆抗体及其应用[P]. 韩国：CN104837867A,2015-08-12.

[354]田云,卢向阳,周赓,杨辉,周辉,李培旺. 一株具有耐镉特性的链霉菌及其应用[P]. 湖南：CN104818234A,2015-08-05.

[355]周昌友,张国良. 作为多种激酶抑制剂的稠合三环酰胺类化合物[P]. 开曼群岛：CN104822658A,2015-08-05.

[356]金商在. 细胞穿透肽以及包含该肽的缀合物和组合物[P]. 韩国：CN104822698A,2015-08-05.

[357]锅田喜一郎. 非水紫杉烷纳米分散制剂及其使用方法[P]. 美国：CN104822262A,2015-08-05.

[358]邵国强,王自正,王峰,谢静燕,汤翠菊,樊宏伟,徐友娣. 一种与叶酸受体靶向结合的叶酸二聚体复合物及其应用[P]. 江苏：CN104815336A,2015-08-05.

[359]黄朝峰,柏川,丁庆峰. 4N杂环化合物作为Th17细胞分化抑制剂的应用[P]. 广东：CN104814962A,2015-08-05.

[360]Q.曾,M.法里斯,A.莫拉德,S.L.沃纳,G.A.弗林. 多激酶通路抑制剂[P]. 美国：CN104812756A,2015-07-29.

[361]田红旗. 作为蛋白激酶抑制剂的氮杂环类化合物及其制备方法[P]. 天津：CN104803996A,2015-07-29.

[362]陈弘达,陈红梅,耿照新,曹亚鹏. 一种微流控芯片及利用其捕获循环肿瘤细胞的方法[P]. 北京：CN104805011A,2015-07-29.

[363]马克·科博尔德,大卫·米勒德. 物质和方法[P]. 英国：CN104812413A,2015-07-29.

[364]Q·李. 癌干细胞接种和治疗[P]. 美国：CN104812446A,2015-07-29.

[365]于浩洋,李正成,苏静. MUC1-Fc多肽疫苗及其制备方法和应用[P]. 广东：CN104800838A,2015-07-29.

[366]M·费格埃尔多,E·匹克,D·迪威特,C·范吉恩霍文,G·特罗亚诺,J·赖特,Y-H·宋,H·王. 用于制备治疗性纳米颗粒的方法[P]. 美国：CN104812381A,2015-07-29.

[367]黄明东,林忠辉,龚利虎,洪泽彬,袁彩,江龙光,刘敏. 重组PAI-1抑制剂、包含其的组合物及其用于治疗和检测用途[P]. 福建：CN104789544A,2015-07-22.

[368]廖旺军,林立,赵亮. Flotillin-2作为筛选抑制鼻咽癌转移的药物的靶标及其应用[P]. 广东：CN104789660A,2015-07-22.

[369]C·M·德恩哈特,S·乔达里,T·福肯,M·E·格里姆伍德,I·W·赫米恩,B·萨菲纳,D·P·萨瑟琳. N-取代的苯甲酰胺及其使用方法[P]. 美国：CN104797555A,2015-07-22.

[370]P·吉尔,C·A·奎斯内勒,M·G·索尔尼尔,A·V·加瓦伊. 取代的1,5-苯并二氮杂*酮化合物[P]. 美国：CN104797569A,2015-07-22.

[371]L.佐恩,K.艾斯,V.舒尔策,D.休兹尔,F.皮尤勒,P.利诺,U.博默,K.彼得森,A.黑格巴思. 氨基咪唑并哒嗪[P]. 德国：CN104797585A,2015-07-22.

[372]匡荣仁. 异烟酰胺衍生物、其制备方法及应用[P]. 上海：CN104788365A,2015-07-22.

[373]罗伯特·L·胡德金斯,丹杜·R·雷迪,陶明,西奥多·L·安德里内尔,阿莉森·L·祖利. 稠合吡咯并咔唑类化合物及其制备方法[P]. 美国：CN104788459A,2015-07-22.

[374]段军,段豪帅. 保健胸罩[P]. 北京：CN204483093U,2015-07-22.

[375]文道芬. 小叶增生散结汤[P]. 黑龙江：CN104784660A,2015-07-22.

[376]达纳·T·阿夫塔布,A·D·莱尔德,彼得·拉姆,让-弗朗索瓦·A·马蒂尼. 使用PI3K和MEK调控剂的方法[P]. 美国：CN104784695A,2015-07-22.

[377]大卫S.瓦特,刘春明,维塔利M.斯维里帕,张文. 卤代二芳基乙炔类似物、其药物组合物及其制备方法与应用[P]. 美国：CN104774156A,2015-07-15.

[378]赖宜生,庞俊霞,罗明昊,陈峰,王佩倍,张奕华. α-氰基-α,β-不饱和酰胺类化合物及其医药用途[P]. 江苏：CN104774184A,2015-07-15.

[379]理查德·贝利沃,米歇尔·德默勒,克里斯蒂安·切,安东尼·雷吉纳. 用于将轭合至其的试剂递送至组织的抑肽酶样多肽[P]. 加拿大：CN104774248A,2015-07-15.

[380]S.艾伦,B.J.布兰德休伯,T.克尔彻,G.R.科拉科斯基,S.L.温斯基. 作为TRKA激酶抑制剂的N-吡咯烷基、N’-吡唑基-脲、硫脲、胍和氰基胍化合物[P]. 美国：CN104781255A,2015-07-15.

[381]廖旺军,林立,赵亮,潘常惬,石敏,廖禹林,宾建平. Flotillin-2作为筛选抑制鼻咽癌转移的药物的靶标及其应用[P]. 广东：CN104762390A,2015-07-08.

[382]刘金雷,刘兵,张英俊. 氨基喹唑啉衍生物及其在药物中的应用[P]. 广东：CN104761507A,2015-07-08.

[383]A·J·威拉德森,J·W·洛克曼,B·R·墨菲,W·R·贾德,K·M·亚戈. 化合物及其治疗用途[P]. 美国：CN104768931A,2015-07-08.

[384]M·E·格尼,T·J·哈根,X·莫,A·韦勒库普,D·L·罗梅罗,R·F·坎贝尔,J·R·沃克,L·朱. PDE4的杂芳基抑制剂[P]. 美国：CN104768932A,2015-07-08.

[385]陈军,刘红雨,刘明辉,王玉丽,李颖,李永文. PD-0332991在制备防治耐药肿瘤药物的用途[P]. 天津：CN104758292A,2015-07-08.

[386]科里·R·霍普金,查尔斯·C·洪,克雷格·W·林斯利,达伦·W·恩格尔斯. 作为选择性BMP抑制剂的稠合杂环化合物[P]. 美国：CN104768548A,2015-07-08.

[387]书明·聂,亚伦·莫斯,迈克尔·曼奇尼. 用于在诊断或治疗程序中提供实时解剖学指导的系统和方法[P]. 美国：CN104757936A,2015-07-08.

[388]乔治·W·穆勒,亚历山大·L·卢切尔曼. 用于治疗癌症的异吲哚啉化合物[P]. 美国：CN104744434A,2015-07-01.

[389]刘兵,刘金雷,张英俊,张健存. 杂芳化合物及其在药物中的应用[P]. 广东：CN104744446A,2015-07-01.

[390]贝蒂·Y·张,斯特拉·张. TEC家族激酶抑制剂疗法的伴随诊断[P]. 美国：CN104755474A,2015-07-01.

[391]K.席曼,F.施蒂贝尔,J.布拉格,A.马林格,D.瓦尔伯尔,C.林克,S.R.克伦普勒. 2-氨基吡啶化合物[P]. 德国：CN104755477A,2015-07-01.

[392]N·布拉奎尔,S·多,D·达德利,A·J·福克斯,R·希尔德,T·赫夫龙,M·琼斯,A·科莱斯尼科夫,C·努巴库,A·G·奥利维罗,S·普赖斯,S·斯塔本,王岚. 苯并氧杂氮杂*PI3K抑制剂化合物和使用方法[P]. 瑞士：CN104744491A,2015-07-01.

[393]鞠建华,宋永相,李洁,黄洪波. 一类角环素化合物及其在制备抗肿瘤或抗菌药物中的应用[P]. 广东：CN104744533A,2015-07-01.

[394]习宁. 作为PI3激酶调节剂的芳杂环化合物及其使用方法和用途[P]. 广东：CN104755085A,2015-07-01.

[395]戴安娜·安德森,摩根·纳加弗扎德,摩根·克莱夫·托马斯·德尼尔. 用于确定受试者对以自由基引起的DNA损伤为特征的疾病状态的倾向的方法和分析产品[P]. 英国：CN104755927A,2015-07-01.

[396]法布里斯·安德烈,埃尔韦·巴赞,帕特里克·加纳诺,热拉尔·马西斯. 基于HER2-HER2二聚体的检测的治疗诊断方法[P]. 法国：CN104755934A,2015-07-01.

[397]张辰宇,曾科,张峻峰,殷媛,蔡星. miRNA-214抑制剂在抑制调节性T细胞中的应用[P]. 江苏：CN104740648A,2015-07-01.

[398]柳先辉,王志成,赵卫东. 一种应用于协同制造系统中的资源配置方法[P]. 上海：CN104751302A,2015-07-01.

[399]理查德·查尔斯·福伊齐克,本杰明·约瑟夫·莫罗,凯瑟琳·法埃·赫姆利,吉琳·伊利莎白·伦尼斯,米歇尔·昂·卡梅里诺,丹尼·加纳梅,保罗·安托尼·斯图普尔,罗米纳·勒塞纳,威廉默斯·约翰尼斯·安东尼厄斯·克斯滕,安德鲁·约翰·哈维,伊恩·彼得·霍姆斯. VEGFR3抑制剂[P]. 澳大利亚：CN104736533A,2015-06-24.

[400]本杰明·杰森·康普顿,柯林·马尔科姆·海曼,伊恩·弗朗西斯·赫曼斯,大卫·塞缪尔·拉森,加文·弗兰克·佩特,里根·詹姆斯·安德森. 有机化合物[P]. 新西兰：CN104736550A,2015-06-24.

[401]C·M·克瑞武兹,D·巴克利,A·丘利,W·乔根森,P·C·加赖斯,I·万莫勒,J·古斯塔夫森,H-S·迪,J·米歇尔,D·W·霍耶,A·G·罗斯,J·D·哈灵,I·E·D·史密斯,A·H·米亚赫,S·A·坎波斯,J·勒. 通过E3泛素连接酶增强靶蛋白质及其他多肽降解的化合物和方法[P]. 美国：CN104736569A,2015-06-24.

[402]A·科斯基,Z·斯拉维克,M·塞凯,A·帕克扎尔,Z·绍博,S·赛博思,G·拉迪克斯,A·普罗岑雅克,B·巴兰,A·布鲁诺,O·热内斯特,J·E·P·戴维森,J·B·穆雷,I-J·陈,F·佩龙-斯尔拉. 噻吩并嘧啶衍生物、其制备方法以及含有它们的药用组合物[P]. 法国：CN104725397A,2015-06-24.

[403]张和胜,曾广怀,陈英伟. 喹唑啉衍生物[P]. 天津：CN104710407A,2015-06-17.

[404]任平达,刘毅,李连生,凯特琳娜.钱,特洛伊.E.威尔森. 苯并噁唑激酶抑制剂和使用方法[P]. 美国：CN104710428A,2015-06-17.

[405]黄永焯,王雅萍. 肿瘤酶激活的量子点探针及其制备方法与用途[P]. 上海：CN104707150A,2015-06-17.

[406]张辰宇,曾科,张春妮,陈熹,王成. 非小细胞肺癌标记物,其检测方法及应用[P]. 江苏：CN104694534A,2015-06-10.

[407]苏梦翔,周雯迪,狄斌. 一种利用固定化酶筛选I型17β羟类固醇脱氢酶抑制剂的方法[P]. 江苏：CN104698108A,2015-06-10.

[408]马海龙. 一种抗肿瘤肽变体NC7及其应用[P]. 陕西：CN104672304A,2015-06-03.

[409]埃里克·安德烈森,玛莉特·雷恩曼,L.毛斯布. 用于诱导植物对病原体例如致病疫霉的天然防御的包含至少一种酚类化合物的植物提取物[P]. 瑞典：CN104684390A,2015-06-03.

[410]R·H·布洛乌,R·G·G·伦德斯,G·J·斯泰尔克,P·H·H·赫姆肯恩斯. 治疗线粒体疾病的色满衍生物[P]. 荷兰：CN104662011A,2015-05-27.

[411]西野泰斗,金木达朗,大谷彩子,猿桥康一郎,户村美沙代,岩间武久,堀川雅人,中辻宪夫,尾辻智美. 培养基组合物以及使用所述组合物培养细胞或组织的方法[P]. 日本：CN104640974A,2015-05-20.

[412]W.施特勒,C.察克拉基迪斯,B.吕特纳,D.温克,F.乔德纳,A.韦格纳. 用作脂肪酸合成酶抑制剂的氢吡咯并吡咯衍生物[P]. 德国：CN104640866A,2015-05-20.

[413]陈家念,王先富,吴德文,张广吉,傅晓波,李亭,沈星灿,蒋邦平,纪仕辰,覃江克,黄春秋. 具有抗肿瘤作用的吡嗪-芳基脲衍生物及其制备方法与应用[P]. 广西：CN104628659A,2015-05-20.

[414]方浩,顿艳艳,杨新颖,徐文方,易凡. 嘧啶苄基异羟肟酸类组蛋白去乙酰化酶抑制剂及制备方法和应用[P]. 山东：CN104610166A,2015-05-13.

[415]吉多·加利,罗杰·诺克罗斯,菲利普·普夫利格. 作为用于治疗数种疾病如抑郁症、糖尿病和帕金森病的TAAR调节剂的吡唑甲酰胺衍生物[P]. 瑞士：CN104619700A,2015-05-13.

[416]J·B·泽尔迪斯. 用于治疗和控制多发性骨髓瘤的方法及组合物[P]. 美国：CN104606193A,2015-05-13.

[417]潘友长,陈明萍,岳勇. 一种沸石药物组合物及其制备方法和用途[P]. 北京：CN104606261A,2015-05-13.

[418]卢帅,金乔梅,王越,陈亚东,陆涛. 4-(稠杂环取代氨基)-1H-吡唑-3-甲酰胺类化合物及其用途[P]. 江苏：CN104592251A,2015-05-06.

[419]董志扬,何永志,张山,毕建成. 一种重组大肠杆菌高密度培养生产四氢嘧啶的方法[P]. 江苏：CN104593442A,2015-05-06.

[420]N·P·德赛,A·杨,S·X·司,T·德,V·德留,P·宋祥,B·比尔斯·格里姆,姚强. 组合物和传递药剂的方法[P]. 美国：CN104587479A,2015-05-06.

[421]蔡丽玲,谭国伟,杨海燕,于强,阮遵明. 3-脱氮瓶菌素衍生物[P]. 新加坡：CN104557914A,2015-04-29.

[422]张涛,邢达,吴宝艳,邹争志,黄伟国,黄嘉良. 一种具有大双光子吸收截面的两亲性抗癌光敏剂及其制备和应用[P]. 广东：CN104558037A,2015-04-29.

[423]冯蓉,孙化海,潘延华,孙明科. 癌症病人辅助治疗配方奶粉及其制备方法[P]. 广东：CN104542983A,2015-04-29.

[424]王汉成. 紫外电子光谱联合红外分子光谱检测早期肿瘤全面确诊[P]. 湖北：CN104545797A,2015-04-29.

[425]孙定一. 一种治疗癌症的中药制剂及其制备方法[P]. 云南：CN104547083A,2015-04-29.

[426]R·J·李. 脂膜白蛋白纳米颗粒组合物以及制备和使用其的方法[P]. 美国：CN104582691A,2015-04-29.

[427]屠鹏飞,王金铃,马文转. 透明质酸维生素E琥珀酸酯聚合物及其制备和用途[P]. 北京：CN104530256A,2015-04-22.

[428]舒缪·本托夫,阿米尔·萨希,阿米尔·伯曼,阿萨夫·瑟尔特. 包含磷酸化氨基酸、合成的磷酸化肽和胃石蛋白的稳定的无定形碳酸钙[P]. 以色列：CN104530208A,2015-04-22.

[429]保罗·J·赫甘罗斯尔,瑞秋·C·博特姆,蒂莫西·M·范,马克·J·吉尔伯特,迈克尔·K·汉德里,格雷戈里·J·里金斯,索多尔·M·塔拉索,阿瓦德哈特·乔希. 用于胶质母细胞瘤的半胱天冬酶酶原结合的疗法[P]. 美国：CN104540501A,2015-04-22.

[430]邱壬乙,陈翰民,郭正宜,林俊材,黄纯芳. 活化AMPK的化合物及其使用[P]. 台湾：CN104510736A,2015-04-15.

[431]奈良洋,大仁将挥,海江田啓,龟井琢,今枝稔博,菊地史朗. 杂环化合物[P]. 日本：CN104507940A,2015-04-08.

[432]戚聿新,王成威,陈军,鞠立柱,李新发. 一种帕博赛布的制备方法[P]. 山东：CN104478874A,2015-04-01.

[433]S·塞尔,F·莫里希,C·马什,S·克卢斯曼,N·丁斯,K·布赫纳,F·施沃布尔. 结合海帕西啶的核酸[P]. 德国：CN104450691A,2015-03-25.

[434]张卫,王丽,丁靖志,孙波,吕建明. 具有高产紫杉醇特性的红豆杉细胞株及其应用[P]. 天津：CN104450601A,2015-03-25.

[435]U·克拉尔,G·克特绍,D·苏兹勒,F·普勒,D·科泽蒙德,P·利瑙,U·伯默,L·沃特曼. 取代的吡咯并嘧啶[P]. 德国：CN104470926A,2015-03-25.

[436]U·克拉尔,G·克特绍,D·科泽蒙德,F·普勒,K·艾斯,P·利瑙,U·伯默,D·苏兹勒,L·沃特曼. 取代的苯并噻吩并嘧啶[P]. 德国：CN104470931A,2015-03-25.

[437]王杭祥,徐骁,陈建美,吴佳萍,耿磊,谢海洋,周琳,郑树森. 一种辣椒碱-喜树碱类抗癌药物偶联物及其制备方法和应用[P]. 浙江：CN104447777A,2015-03-25.

[438]赵跃东. 紧凑型显微镜[P]. 江苏：CN104459968A,2015-03-25.

[439]郑义,都会,李智龙,肖艳归. 一种强化细胞因子诱导的杀伤细胞功能的方法[P]. 湖北：CN104434973A,2015-03-25.

[440]易崇勤,许恒,陶晶,林松文,韩方斌,钟学超. 取代的萘啶-2-酮化合物、制备方法、用途及药物组合物[P]. 北京：CN104418853A,2015-03-18.

[441]吴国锋,徐永梅,毛伟,陈春麟,吴章桂,林筱芹,汪俊,蔡金娜,肖森,吕立力. 2,6-二含氮取代的嘌呤衍生物及其制备方法和其药物组合物与应用[P]. 浙江：CN104418858A,2015-03-18.

[442]丁克,徐石林,徐田锋,张连文,丁芳,涂正超,陆小云,丁健,耿美玉. 嘧啶并杂环类化合物及其药用组合物和应用[P]. 广东：CN104418860A,2015-03-18.

[443]向平·钱. 某些化学个体、组合物及方法[P]. 美国：CN104427873A,2015-03-18.

[444]N·J·阿姆斯特朗,M·N·鲍恩,Y-F·玛. 高浓度单克隆抗体配制剂[P]. 美国：CN104427974A,2015-03-18.

[445]M·希契科克,C-S·希尔格,A·门格尔,H·布里姆,S·霍尔顿,V·皮特,G·西迈斯特,S·普雷希特尔,A·E·费尔南德斯-蒙塔尔万,C·斯特格曼,C·普罗伊塞,M·J·格诺特. 作为Bub1抑制剂的用于治疗癌症的取代的环烯并吡唑[P]. 德国：CN104411701A,2015-03-11.

[446]许丽艳,曹卉慧,许秀娥,吴健谊,李恩民. Kindlin-2,Myosin-9和AnnexinⅡ三蛋白联合预测食管鳞癌患者预后试剂盒[P]. 广东：CN104407151A,2015-03-11.

[447]王茂媛,晏小霞,王祝年,王建荣,王清隆,王鹏. 一种强心苷化合物的用途[P]. 海南：CN104398532A,2015-03-11.

[448]N·A·巴尔布甘,R·弗里诺,T·弗马加利,P·奥西尼. N-[5-(3,5-二氟-苄基)-1H-吲唑-3-基]-4-(4-甲基-哌嗪-1-基)-2-(四氢-吡喃-4-基氨基)-苯甲酰胺的制备方法[P]. 意大利：CN104395308A,2015-03-04.

[449]C·韩. 制备化合物的中间体和方法[P]. 美国：CN104395311A,2015-03-04.

[450]金圣勋,李姬淑,吴莹善,金旲圭. 新型氨基吡啶衍生物的癌预防或治疗用途[P]. 韩国：CN104379565A,2015-02-25.

[451]孙祖越,朱圣生. GnRH多肽-甲氨蝶呤偶联物、其制备方法及用途[P]. 上海：CN104371009A,2015-02-25.

[452]陈伟荣,詹妮弗.科斯罗,利奥伊德.富兰克林,关冰,约翰.H.琼斯,格纳纳萨姆班达姆.库玛拉维尔,本杰明.莱恩,亚当.利特克,亚力克西.卢戈夫斯科伊,彭海若,诺埃尔.鲍威尔,布赖恩.雷蒙多,田中弘子,杰弗里.维塞尔斯,托马斯.温,辛智利. 用作RAF激酶抑制剂的嘧啶衍生物[P]. 美国：CN104370828A,2015-02-25.

[453]斯蒂芬·Y·周,周梁成. 超灵敏传感器[P]. 美国：CN104380084A,2015-02-25.

[454]G·A·E·范特克罗斯特,R·C·X·布莱斯,L·J·C·范尤帕伊,F·S·纳莫. 用于治疗炎症的氨基三唑并吡啶及其药物组合物[P]. 比利时：CN104379173A,2015-02-25.

[455]丁宝全,蒋乔,王金业,杜洋,张倩. 一种用于运载抗肿瘤药物的核酸纳米结构及其制备方法和应用[P]. 北京：CN104368004A,2015-02-25.

[456]R·D·通,B·潘德雅,S·L·哈比森. 取代的黄嘌呤衍生物[P]. 美国：CN104364255A,2015-02-18.

[457]吴晓云,李胜峰,徐臣超. 双特异性抗体[P]. 广东：CN104341504A,2015-02-11.

[458]佐佐木实,古川英纪,日高功介,丰福响子,余乡能纪,村田俊树. 芳环化合物[P]. 日本：CN104350040A,2015-02-11.

[459]J·埃克霍夫,G·齐施因斯基,U·科赫. 作为选择性细胞周期蛋白依赖性激酶抑制剂的吡唑并-三嗪衍生物[P]. 德国：CN104350054A,2015-02-11.

[460]卡索姆·纳克罗,阿什赛亚玛尼·泽亚拉·杜莱斯瓦米,洛希萨·劳·陈纳玛尼尼. 作为MNK1和MNK2调节剂的二环杂芳基衍生物及其用途[P]. 新加坡：CN104350055A,2015-02-11.

[461]B·H·盖尔斯坦格尔,J·格鲁内瓦尔德,B·布尔苏拉亚. 位点特异性标记方法及由此产生的分子[P]. 百慕大群岛：CN104334576A,2015-02-04.

[462]李承炫,金健雄,金敬儿,朴慧圆,宋镐英,吴永美,S-B.李,李至敏,郑光镐,郑闰宙,赵美英,J-H.崔,宋允姃,崔允雅. 抗C-MET抗体及其用途[P]. 韩国：CN104334579A,2015-02-04.

[463]曾锦章,庞冀燕,曾文军,吴云龙. 雷公藤甲素衍生物及其应用[P]. 福建：CN104327152A,2015-02-04.

[464]高进明,周科进,巴兰·苏梅尔. 多色的pH可激活的荧光纳米平台[P]. 美国：CN104334162A,2015-02-04.

[465]K·艾斯,F·普勒,L·措恩,V·舒尔策,D·苏兹勒,P·利瑙,A·哈格巴尔特,K·彼得森,U·伯默. 氨基取代的咪唑并哒嗪[P]. 德国：CN104321326A,2015-01-28.

[466]金弦起,郑埈昊,金珉秀,尹秀珉. Gremlin-1抗体[P]. 韩国：CN104321342A,2015-01-28.

[467]E·博格斯,A·格施温德,R·G·奥特,M-A·拜斯,J·波科诺,P·默切尔斯,E·德普拉,F·史蒂夫内特. ANG2结合分子[P]. 德国：CN104321344A,2015-01-28.

[468]A·O·卡贾诺,A·J·贝拉,A·甘古利,J·亚奇,T·帕里,R·W·科尔伯恩. 神经调节蛋白在治疗外周神经损伤中的应用[P]. 美国：CN104321072A,2015-01-28.

[469]蔡雄,钱长庚. 噻吩嘧啶类化合物和制剂及其制备方法和应用[P]. 广东：CN104292242A,2015-01-21.

[470]杰罗姆·J·申塔基,莫汉·卡巴迪. 在回肠和阑尾上有活性的胃肠位点特异性口服接种疫苗制剂[P]. 美国：CN104302278A,2015-01-21.

[471]D.L.弗林,M.D.考夫曼. 表现出抗癌和抗增殖活性的吡啶酮酰胺以及类似物[P]. 美国：CN104302292A,2015-01-21.

[472]N·哈尔埃尔瓦哈比,I·费尔南德斯费尔南德斯,R·莱琪奥希门尼斯. 莱菔硫烷衍生的化合物、其制备方法及其医疗、食品和化妆品用途[P]. 西班牙：CN104284885A,2015-01-14.

[473]M·科皮茨,U·克拉尔,A·M·温内尔,R·诺伊豪斯,G·西迈斯特. 取代的咪唑并哒嗪[P]. 德国：CN104284896A,2015-01-14.

