[1]孙新,徐沁,梅艳巧,景丹丹. 遗传性乳腺癌与卵巢癌BRCA1/2基因热点突变位点检测试剂盒[P]. 江苏：CN107523609A,2017-12-29.
[333]张菁,张顺,宋小慧. 一种用于检测Her2基因的核酸组合、试剂盒及应用[P]. 浙江：CN106591438A,2017-04-26.

[334]曹吉超,王芹,徐红岩. 一种双核邻菲罗啉锌配合物及其合成方法与应用[P]. 山东：CN106588961A,2017-04-26.

[335]奥塔维奥·阿兰西奥,时先·邓,唐纳德·W·兰德瑞,约莱·菲奥里托,罗莎·普尔加托里奥,欧文·安东尼·奥康纳,珍妮弗·埃菲·阿芒加尔. 组蛋白乙酰基转移酶激活剂及其用途[P]. 美国：CN106604913A,2017-04-26.

[336]谢丽尔·贝克. 用放射、氧化铈纳米颗粒、和化疗剂的组合治疗癌症[P]. 美国：CN106604719A,2017-04-26.

[337]杨泳,张家衡,李杰宝,宋旗. 一种肿瘤标记物及其在血液中联合检测方法[P]. 湖北：CN106596940A,2017-04-26.

[338]徐晓晶,赵莹,孙冰玉,姚琴琴,陆凌佳. 一种基于CRISPR#Cas9技术的miR#126全长基因敲除试剂盒及其应用[P]. 上海：CN106566838A,2017-04-19.

[339]安汉祥,张云,周丹,汤玮玮. 用于癌症诊断的CCND1基因外显子基因群及诊断试剂盒[P]. 福建：CN106566885A,2017-04-19.

[340]N·施梅斯,B·海德勒,D·斯达哥特,R·A·毕塞尔,R·A·伯格勒斯,I·斯泰凡尼提,S·西格尔. 抑制BET蛋白的具有间位取代的芳族氨基或醚基的3,4#二氢吡啶并[2,3#b]吡嗪酮[P]. 德国：CN106573931A,2017-04-19.

[341]迈克尔·C·延森. 药物相关的转基因表达[P]. 美国：CN106573969A,2017-04-19.

[342]杜永丽,李群益,凌浩,张留弟. 一种新型二丙氧苯基#甲磺酰胺类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106565551A,2017-04-19.

[343]D.R.米克勒姆,S.基普里亚诺夫,L.H.尼尔森,L.艾哈迈德,H.豪根. 抗AXL抗体[P]. 挪威：CN106573979A,2017-04-19.

[344]D.R.米克勒姆,S.基普里亚诺夫,L.H.尼尔森,L.艾哈迈德,H.豪根. 抗AXL抗体[P]. 挪威：CN106573980A,2017-04-19.

[345]张济宁. INOS抑制性组合物及其作为乳腺癌治疗剂的用途[P]. 美国：CN106572988A,2017-04-19.

[346]J·H·海格,E·乔玛内瓦,N·D·史密斯,L·弗里德曼,D·桑帕斯. 含有雌激素受体调节剂的治疗性组合产品[P]. 瑞士：CN106572990A,2017-04-19.

[347]P.A.布洛姆格伦,A.克拉克,K.S.柯里,J.迪保罗,J.E.克罗普夫,S.H.李,J.R.洛,S.A.米切尔,A.C.施密特,S.斯瓦米纳坦,J-M.熊,J.徐,Z.赵. SYK抑制剂[P]. 美国：CN106572999A,2017-04-19.

[348]赵华军,杨波,赵亚萍,朱瑞,楼成华. 一种天然产物Eupalinolide J的新用途[P]. 浙江：CN106562956A,2017-04-19.

[349]陈善雄,朱雨晨,彭喜化,周俊,浦汛,彭茂玲. 一种基于偏最小二乘法的乳腺细胞异常检测方法[P]. 重庆：CN106570325A,2017-04-19.

[350]董新波,刘琦,赵金银,方楠,于闯,许立志,李杰. 检测肿瘤化疗个体化用药相关基因的方法和试剂盒[P]. 北京：CN106554995A,2017-04-05.

[351]杜永丽,李群益,凌浩,张留弟. 一种新型对甲氧苄基#苯甲酰胺类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106551921A,2017-04-05.

[352]杜永丽,宋莲华,凌浩,李群益. 一种新型N#异丙基#苯甲酰胺类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106551922A,2017-04-05.

[353]余笑虹,郭芳. 用于测定豆荚蛋白的血液水平的方法和组合物[P]. 美国：CN106556699A,2017-04-05.

[354]安汉祥,张云,周丹,汤玮玮. 用于癌症诊断的CDK6基因外显子基因群及诊断试剂盒[P]. 福建：CN106544422A,2017-03-29.

[355]杜永丽,凌浩,李群益. 一种新型2#卞氧基#苯基甲酸酯类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106543044A,2017-03-29.

[356]杜永丽,李蕊,凌浩,李群益. 一种新型N#苯基#苯甲酰胺类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106543045A,2017-03-29.

[357]杜永丽,张艳辉,凌浩,李群益. 一种新型3#甲氧苯基#苯甲酰胺类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106543046A,2017-03-29.

[358]杜永丽,关海星,凌浩,李群益. 一种新型N#对#甲苯基#苯甲酰胺类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106543047A,2017-03-29.

[359]杜永丽,韩炜炜,凌浩,李群益. 一种新型3#甲氧苄基#苯甲酰胺类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106543048A,2017-03-29.

[360]侯理理,刘明耀,余波. 一种去岩藻糖抗HER2抗体及其应用[P]. 上海：CN106543286A,2017-03-29.

[361]刘玲,张欢,曾晓华. 用于乳腺癌术后恢复的爬高运动装置[P]. 重庆：CN206044787U,2017-03-29.

[362]肖雪媛,孔菲,李允广,王睿,何大澄,王俊豪,胡恩泽. Hippo通路在调控癌细胞S100A7、S100A8和S100A9表达中的应用[P]. 北京：CN106540258A,2017-03-29.

[363]杜永丽,李蕊,凌浩,李群益. 一种新型4#溴苯基脲类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106539782A,2017-03-29.

[364]杜永丽,李蕊,凌浩,李群益. 一种新型3#溴苯基脲类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106539783A,2017-03-29.

[365]普拉哈·萨姆帕斯. 经修饰的抗MIR#138寡聚核苷酸[P]. 新加坡：CN106536736A,2017-03-22.

[366]谷口俊一郎,秋山靖人,柾木健,清水瞳. 抗体基因的表达#分泌系统[P]. 日本：CN106536738A,2017-03-22.

[367]付尚颐,付俊江,成竞梁,魏春莉,杨璐全. 一种乳腺癌筛查试剂盒[P]. 湖南：CN106520776A,2017-03-22.

[368]崔在真,尹志惠,金秀南,金成基,金镇羽. 利用夹紧探针及检测探针的多靶核酸检测方法的应用[P]. 韩国：CN106536758A,2017-03-22.

[369]何劲松,陈伟财,罗雪莹,潘悦,刘宝儿,李锋. DHRS7易感SNP位点检测试剂及其制备的试剂盒[P]. 广东：CN106520957A,2017-03-22.

[370]理查德·摩根,凯文·弗里德曼,柳秉昱. MND启动子嵌合抗原受体[P]. 美国：CN106536549A,2017-03-22.

[371]克里斯多佛·里耶斯,彼得·朱,克里斯汀·M·史密斯,柳德米拉·A·坎贝尔,法波·舒贾埃,约翰·托马斯·诺顿. 结合LGR5的人源化抗体[P]. 美国：CN106536556A,2017-03-22.

[372]迈克尔·C·延森,亚当·约翰逊. 转基因遗传标签和使用的方法[P]. 美国：CN106536558A,2017-03-22.

[373]李立新. 用于治疗癌症的联合治疗组合物和联合治疗方法[P]. 北京：CN106535938A,2017-03-22.

[374]H·塞克斯顿,J·克洛克. 用于捕获信息内的关系的系统和方法[P]. 美国：CN106537422A,2017-03-22.

[375]刘港飚,朱月艳,孙子奎. 乳腺癌易感基因遗传变异位点的检测分析方法[P]. 上海：CN106529171A,2017-03-22.

[376]陈小兵,曹广新,陈贝贝,吕慧芳,宋春花,彭瑞. 一种用BseNI鉴定人乳腺癌MALAT1基因rs619586多态性的方法[P]. 河南：CN106498034A,2017-03-15.

[377]G·C·肯尼迪,D·I·丘多瓦,J·I·威尔德,詹姆斯·G·维奇,邦妮·H·安德森. 用于诊断病状的方法和组合物[P]. 美国：CN106498076A,2017-03-15.

[378]杜永丽,高志培,凌浩,李群益. 一种新型苯基脲类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106491575A,2017-03-15.

[379]杜永丽,宁阳,凌浩,李群益. 一种新型2#乙氧基#苯甲酰卞胺类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106491576A,2017-03-15.

[380]杜永丽,宋莲华,凌浩,李群益. 一种新型二丁氧苯基#甲磺酰胺类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106491577A,2017-03-15.

[381]杜永丽,谭树志,凌浩,李群益. 一种新型2#丁氧基#苯基甲酸酯类调节雌激素相关受体活性的化合物及其医学用途[P]. 山东：CN106491580A,2017-03-15.

[382]王林海,刘沛. 乳腺癌转移评估试剂盒[P]. 北京：CN106480201A,2017-03-08.

[383]刘琴,张元兴,代同成. 腺苷5′-单磷酸介导的靶向肿瘤的纳米传递系统的构建与应用[P]. 上海：CN106474492A,2017-03-08.

[384]芭芭拉·伯温克尔,杨蓉西,彭茨克,安德里亚斯·施内魏斯. 作为转移性乳腺癌的生物标志物的S100P和透明质酸[P]. 德国：CN106489074A,2017-03-08.

[385]J·H·海格,J·D·约瑟夫,J·钱,N·D·史密斯,E·乔玛内瓦,D·F·罗伊乔杜里,L·弗里德曼,D·桑帕斯. 调节雌激素受体突变体的方法和组合物[P]. 瑞士：CN106488767A,2017-03-08.

[386]张鸿雁. 小干扰RNA及其应用和抑制plk1基因表达的方法[P]. 江苏：CN106467915A,2017-03-01.

[387]蒙尼迪帕·罗伊,萨马德·侯赛因,阿尼鲁达·森古普塔,桑加米特拉·梅拉瓦拉普,希拉迪蒂亚·森古普塔,阿努拜·慕克吉. 超分子组合治疗药物[P]. 印度：CN106470681A,2017-03-01.

[388]托马斯·约格·马尔林,恩里克·玛利亚·奥西奥. 用于治疗癌症的药物组合[P]. 卢森堡：CN106470696A,2017-03-01.

[389]克里斯廷·L·克拉克,J·迪恩尼·格雷厄姆. 用于鉴定具有活化的孕酮受体的癌症的系统和方法[P]. 澳大利亚：CN106460038A,2017-02-22.

[390]李玲,刘莹,南飞飞,高杰,宋春花,曹晶晶. 用NsiI鉴定人乳腺癌LINC#ROR基因rs6420545多态性的方法[P]. 河南：CN106434925A,2017-02-22.

[391]阿克塞尔·希尔默,阮一骏,姚斐,陈文炜,杨启源,W·亨齐克,张淑明,夏于渊. 癌症中的融合基因[P]. 新加坡：CN106460054A,2017-02-22.

[392]安汉祥,张云,周丹,汤玮玮. 用于癌症诊断的CDK4基因外显子基因群及诊断试剂盒[P]. 福建：CN106434945A,2017-02-22.

[393]孟颂东,李长菲,王刚,吴博. 一种RNA抑制剂及其在肿瘤中的应用[P]. 福建：CN106434662A,2017-02-22.

[394]J·巴比亚尔兹,T·P·康斯坦丁,L·A·尤班克,G·杰梅罗斯,M·M·希尔,H·E·柯克雷,M·罗比诺威特茨,O·萨卡里亚,S·斯古约恩松,B·齐默曼. 检测染色体片段中的突变和倍性[P]. 美国：CN106460070A,2017-02-22.

[395]张长生,张光涛,张文军,朱义广,袁呈山,张庆波,张海波,张丽萍. 一种帕克特酰胺的生物合成基因簇及其应用[P]. 广东：CN106434702A,2017-02-22.

[396]W·维尔斯,K·肖恩菲尔德,T·托恩,M·格瑞兹,张聪聪. 作为细胞治疗剂的CAR#表达NK#92细胞[P]. 德国：CN106459916A,2017-02-22.

[397]罗伯特·Z·弗洛尔凯维奇. 核酸分子疫苗组合物及其用途[P]. 美国：CN106459992A,2017-02-22.

[398]A.钱奈彦,J.普伦斯纳,M.艾尔. ncRNA及其用途[P]. 美国：CN106434870A,2017-02-22.

[399]不公告发明人. 转基因自然杀伤细胞及其制备方法和应用[P]. 广东：CN106434563A,2017-02-22.

[400]朱利安·史迪克,丹尼尔·柯华李维斯基丹,克劳蒂亚·柏林,希汉斯乔治·罗曼,史蒂芬·史蒂芬诺维克. 急性骨髓性白血病(AML)等几种血液肿瘤的新型免疫疗法[P]. 德国：CN106459167A,2017-02-22.

[401]陈守春,徐琦,闫娟,黄先洲,魏利佳,胡海洋. 一种TRAIL双靶点突变蛋白MuR5S4TR、其制备方法及其应用[P]. 四川：CN106459172A,2017-02-22.

[402]E·B·瑞利,A·C·菲利普斯,L·贝纳图尔,F·G·布查南,J·A·梅尔布洛克,谢仲明,J·佩雷斯. 抗#EGFR抗体及抗体药物偶联物[P]. 美国：CN106459200A,2017-02-22.

[403]范丽菲,莫日根,博日吉汗格日勒图. 一种新型化学合成的乳腺癌靶向药物胡椒酸钾[P]. 内蒙古：CN106432173A,2017-02-22.

[404]塞西利亚·安娜·威廉明娜·热延,科内利斯·阿德里安·德克吕夫,马克·思罗斯比,敦·洛格滕伯格,亚历山大·贝特霍尔德·亨德里克·巴克. 结合ERBB#2和ERBB#3的抗体[P]. 荷兰：CN106459212A,2017-02-22.

[405]甄红英. 一种ABCG2单克隆抗体及其用途[P]. 北京：CN106432490A,2017-02-22.

[406]周育,J·D·马克斯. 抗肿瘤抗原抗体及其使用方法[P]. 美国：CN106432495A,2017-02-22.

[407]乌尔·沙欣,厄兹莱姆·图雷奇,米夏埃尔·科斯洛夫斯基,科登·沃尔特,斯特凡·韦尔,玛丽亚·克罗伊茨贝格,贝恩德·胡布纳,米夏埃尔·埃尔代连. 密蛋白6(CLDN6)特异性的抗体[P]. 德国：CN106432500A,2017-02-22.

[408]E.约夫切瓦,T.P.S.珀雷拉. 组合[P]. 英国：CN106458999A,2017-02-22.

[409]莱斯利·S·约翰逊,黄菱. 共价双抗体及其用途[P]. 美国：CN106432503A,2017-02-22.

[410]V·罗施克,D·拉夫洛,D·M·希尔伯特,P·基纳. 多价和单价多特异性复合物及其用途[P]. 美国：CN106432506A,2017-02-22.

[411]尼古拉斯·A·纳尔逊,亚历山大·G·迪金森,肯尼斯·R·布鲁姆,索菲·I·库恩,肯尼斯·J·谢尔曼,肯尼斯·G·约克姆,凯文·P·罗兹,杰罗姆·沙代尔,马修·L·波萨德. 综合式消费者基因组服务[P]. 美国：CN106462337A,2017-02-22.

[412]E.约夫切瓦,T.P.S.珀雷拉. FGFR抑制剂和IGF1R抑制剂的组合[P]. 英国：CN106456648A,2017-02-22.

[413]K·伊格兰德,R·埃文斯,J·普特拉. 用于乳腺癌检测的试剂和方法[P]. 美国：CN106461657A,2017-02-22.

[414]N·哈克亨,C·J·吴,E·F·弗里奇. 使用新抗原疫苗的联合疗法[P]. 美国：CN106456724A,2017-02-22.

[415]R·珀蒂. 生物标志物导向的多靶点免疫治疗[P]. 美国：CN106456726A,2017-02-22.

[416]M·L·迪西斯,D·塞西尔,M·斯洛塔. 乳腺癌和卵巢癌疫苗[P]. 美国：CN106456735A,2017-02-22.

[417]S·福伊,斯蒂法尼·曼德尔,瑞安·朗特里,A·弗兰祖斯奥夫. 用表达肿瘤抗原的重组痘病毒和免疫检查点分子拮抗剂或激动剂治疗癌症的组合疗法[P]. 丹麦：CN106456747A,2017-02-22.

[418]M·K·德林克,L·弗里德曼,S·B·让德罗,S·米兰. 用PI3K抑制剂Pictilisib治疗PR阳性腔性A乳腺癌的方法[P]. 瑞士：CN106456776A,2017-02-22.

[419]D.U.基马纳马达,英伟文. 靶向治疗学[P]. 美国：CN106456795A,2017-02-22.

[420]J·L·库托克,大卫·G·温克勒,维托·J·帕罗姆贝拉. 用于治疗PI3K#γ介导的障碍的杂环化合物[P]. 美国：CN106456628A,2017-02-22.

[421]何劲松,陈伟财,欧阳依雯,毛有胜,罗雪莹,潘悦,刘宝儿,李锋. 一种与乳腺癌相关的SNP标记[P]. 广东：CN106399304A,2017-02-15.

[422]唐向荣,陈建鹤,吴思敏,唐志君,姜为为,杨水兵,赵氏璧,娄竞. 一种实时荧光定量PCR检测方法及其标准品和检测试剂盒[P]. 上海：CN106399555A,2017-02-15.

[423]齐华,张娟丽. 人雌激素受体α亚型单克隆抗体杂交瘤细胞株、单克隆抗体、制备方法、应用[P]. 河南：CN106399258A,2017-02-15.

[424]李捷. 一种个体化药物的筛选方法及其应用[P]. 天津：CN106404975A,2017-02-15.

[425]杨超,高云雷,其他发明人请求不公开姓名. 一种乳腺癌干细胞冻存保护剂及制成的冻存保护试剂盒[P]. 江苏：CN106386787A,2017-02-15.

[426]谭樵夫. 调控癌症相关基因的多肽及其用途[P]. 北京：CN106390095A,2017-02-15.

[427]林家扬,陈士浩,李丽芬,S·坡特鲁里,D·希利,M·马歇尔,泽田尚树. 用于治疗癌症的抗CCR4抗体和4#1BB激动剂的组合[P]. 美国：CN106413751A,2017-02-15.

[428]安德鲁·博特利,克里斯托弗·海斯,格雷厄姆·西摩,安娜·格拉鲍斯卡,菲利普·克拉克. 用于治疗用途的糖脂及其药物组合物[P]. 英国：CN106413753A,2017-02-15.

[429]谭樵夫. 抑制癌细胞增殖的多肽及其用途[P]. 北京：CN106390096A,2017-02-15.

[430]陈壮威. 一种基于堆叠降噪自编码器的乳腺超声图像特征自学习提取方法及系统[P]. 福建：CN106407992A,2017-02-15.

[431]孟颂东,李长菲,王刚,吴博. 一种RNA抑制剂及其应用[P]. 福建：CN106381298A,2017-02-08.

[432]熊磊,李福根,谢正华,王大磊. 基于高通量测序检测人BRCA1/2基因变异的质控方法及试剂盒[P]. 上海：CN106381334A,2017-02-08.

[433]翟云良,倪晓龙,苗保刚,李明,彭年才. 一种检测HER#2基因扩增的试剂盒及检测方法[P]. 江苏：CN106381338A,2017-02-08.

[434]杨明珍,袁方,胡川闽,陈安,李淑慧. 乳腺癌多药耐药蛋白质分子IBP的应用[P]. 重庆：CN106383235A,2017-02-08.

[435]张纪斌,王辉云,林钊,李伟琴,罗景燕,赖炳权. 一种扩增BRCA1/2基因的多重PCR引物及一种多重PCR引物的设计方法[P]. 广东：CN106367481A,2017-02-01.

[436]顾宇春. 一种肿瘤抗原的制备方法及其制备的肿瘤抗原[P]. 北京：CN106366175A,2017-02-01.

[437]蒋敏捷,曹雯,蒋群哲,许立拔,许崇摇,张文娟,林彩霞. 一种治疗乳腺癌的药物[P]. 广西：CN106362114A,2017-02-01.

[438]董辰方. 醛酮还原酶1B1抑制剂在制备抗乳腺癌药物中的应用[P]. 浙江：CN106362153A,2017-02-01.

[439]袁芃,王雯邈. FABP4基因的SNP位点rs1054135与三阴型乳腺癌预后的相关性[P]. 北京：CN106337081A,2017-01-18.

[440]詹姆斯·W·利拉德,沙伊莱什·辛格,拉杰什·辛格. 用抗CCL25抗体和抗CCR9抗体检测癌症[P]. 美国：CN106338604A,2017-01-18.

[441]熊磊,李福根,谢正华,王大磊. 基于高通量测序检测人BRCA1/2基因的捕获探针及试剂盒[P]. 上海：CN106319065A,2017-01-11.

[442]李爱敏,李玲,高杰,宋春花,曹晶晶. 用BsmAI鉴定人乳腺癌LINC#ROR基因rs4801078多态性的方法[P]. 河南：CN106319071A,2017-01-11.

[443]赵越,罗昊,王胜利,王春玉,孙洪邈,邹仁龙,吴怡,林琳,闻涛,孙戈,孙宁,丛日娇,曾凯,刘伟,杨磊,宋慧娟. 一种RNF8在促进乳腺癌方面的应用[P]. 辽宁：CN106282133A,2017-01-04.

[444]李华顺,任宝永. Slit2D2-HSA融合蛋白及其在抗肿瘤中的应用[P]. 江苏：CN106279423A,2017-01-04.

[445]马婷婷,刘明明,张鹤,柳泽亮,蔡乐靖,徐飞,陈帼婧,屠勇军,陈贤丰. 基于BRCA1和BRCA2突变的乳腺癌患病风险评估算法[P]. 浙江：CN106295241A,2017-01-04.

[446]张济,王海伟,张善镇. 肿瘤诊断标志物的筛选方法、以该方法获得的乳腺癌肺转移相关基因及其应用[P]. 上海：CN106295244A,2017-01-04.

[447]赵越,王胜利,王春玉,孙洪邈,邹仁龙,吴怡,林琳,闻涛,孙戈,孙宁,丛日娇,曾凯,刘伟,杨磊,宋慧娟. 一种USP22在促进乳腺癌方面的应用[P]. 辽宁：CN106267215A,2017-01-04.

[448]杨爽,张震. 鹰嘴豆芽素A在制备抑制乳腺癌增殖、转移药物及乳腺癌化疗增敏剂中的用途[P]. 天津：CN106265631A,2017-01-04.

[449]王凌,王嫣然,陈旭,蒋学华. NRF2激活子化合物、药物及白术内酯Ⅱ的新用途[P]. 四川：CN106265633A,2017-01-04.

[450]曾艺,王代松. 治疗三阴性乳腺癌的单克隆抗体[P]. 上海：CN106267187A,2017-01-04.

[451]D·沙因伯格,L·都伯夫斯基. 用于WT#1#阳性疾病的组合/辅助疗法[P]. 美国：CN106170297A,2016-11-30.

[452]吴水星,崔玟晶. 一种用于防止或治疗癌症的抑制溴结构域的化合物及含有该化合物的药物组合物[P]. 韩国：CN106132968A,2016-11-16.

[453]苏慰国,贾红,戴广袖. 某些三唑并吡啶化合物和三唑并吡嗪化合物、其组合物和其使用方法[P]. 上海：CN106117248A,2016-11-16.

[454]南口和久,冈嶋茂雄,青木真一,浅井雅则,浅井隆宏,山中博义,土肥卓. 新型四氢吡啶并嘧啶化合物或其盐[P]. 日本：CN106103434A,2016-11-09.

[455]M·F·布朗,A·卡西米罗-加西亚,Y·车,J·W·科,M·E·弗拉纳根,A·M·吉尔伯特,M·M·海沃德,J·D·兰吉尔,J·I·蒙哥马利,J-B·泰利耶,A·索拉伦森,R·J·昂瓦拉,J·I·特鲁希略. 吡咯并[2,3#D]嘧啶基、吡咯并[2,3#B]吡嗪基和吡咯并[2,3#D]吡啶基丙烯酰胺[P]. 美国：CN106061973A,2016-10-26.

[456]J·阿拉姆,A·鲍尔森,何淑仪,王伟玲,A·J·杜拉斯瓦米. 作为WNT途径的调节剂的顺丁烯二酰亚胺衍生物[P]. 新加坡：CN106061974A,2016-10-26.

[457]I.黑斯勒,T.米勒,H.西贝奈赫,B.布赫曼,A.克利夫,J.京特,M.科皮茨,M.赫罗尔特,R.诺伊豪斯,H.佩特鲁尔,M.昆斯-谢菲尔. 葡萄糖转运抑制剂[P]. 德国：CN106029647A,2016-10-12.

[458]王淑琴,梁颖. 基于子类问题分类能力度量的Filter特征选取方法[P]. 天津：CN106021929A,2016-10-12.

[459]S·库尔,S·库拉德,S·博萨莱,K·奈克,V·萨伦克,Y·穆诺特,D·布尼亚. 作为TLR抑制剂的吡咯并[3,2-C]吡啶衍生物[P]. 日本：CN105992766A,2016-10-05.

[460]W.施特里特马特,R.杭德格雷廷格,K.席尔巴赫-施蒂克勒. 靶定癌症的IL-12免疫疗法[P]. 德国：CN105992590A,2016-10-05.

[461]刘晓妹,蒲金基,张贺,杨永利. 一种检测芒果露水斑病菌的方法[P]. 海南：CN105969851A,2016-09-28.

[462]P·M·P·申克,A·马勒基扎德赫. 分离器[P]. 澳大利亚：CN105934263A,2016-09-07.

[463]于学军,刘宏伟. 一种治疗肿瘤的中药组合物及其制备方法[P]. 山东：CN105920495A,2016-09-07.

[464]E·J·雅各布森,J·R·布林,J·R·斯普林格,S·L·赫克曼. 取代的吡咯并吡啶和吡咯并吡嗪用于治疗癌症或炎性疾病[P]. 美国：CN105934248A,2016-09-07.

[465]S.凯内皮尔,J.卡农,P.休斯,J.D.奥利纳,R.J.里克尔斯,A.Y.塞基. 用于治疗癌症的包括MDM2抑制剂和一种或多种另外的药物活性剂的组合疗法[P]. 美国：CN105934255A,2016-09-07.

[466]吉田雅都,高见和明,富成祐介,塩川善右,涉谷章人,佐佐木悠佑,东尼·吉普森,高木辉文. 用于治疗自身免疫病症的吡唑[P]. 日本：CN105899505A,2016-08-24.

[467]王晓军,杨新业,潘圣强,郭蕊,吴俊文,张英俊,郑常春. 三环化合物及其在药物中的应用[P]. 广东：CN105884758A,2016-08-24.

[468]A·R·沙瑞,V·A·阿达尔斯泰因松,N·曹,R·S·兰格,J·C·洛夫,K·F·延森. 材料选择性的递送至细胞[P]. 美国：CN105848793A,2016-08-10.

[469]耿丽华,宁利园,宋顺华,康俊根,赵泓. 一种甘蓝萎蔫病的病原菌及其应用[P]. 北京：CN105802860A,2016-07-27.

[470]A.门格尔,A.里希特,M.希奇科克,H.布里姆,G.西迈斯特,W.博内,A.弗南德斯-蒙塔尔万,J.施勒德,S.霍尔顿,C.普罗伊斯,U.门宁. 杂芳基取代的吡唑[P]. 德国：CN105764893A,2016-07-13.

[471]E.J.哈农,J.斯蒂芬尼. 流感疫苗[P]. 比利时：CN105727276A,2016-07-06.

[472]法赫尔·麦钱特. 白介素-4受体结合融合蛋白及其应用[P]. 加拿大：CN105722982A,2016-06-29.

[473]周琳,陈涛,李海成,郭卉欣. 结核分枝杆菌非编码RNA的系统发现、标注和功能研究[P]. 广东：CN105713961A,2016-06-29.

[474]法赫尔·麦钱特. 白介素-2融合蛋白及其应用[P]. 加拿大：CN105722860A,2016-06-29.

[475]林蔚君,盛敏成,余承叡,吴怡欣,林志明,叶浚豪,吴维文,卢冠宇,翁铭隆,丁士翔,龚荣发. 生产效能管理装置及其生产效能管理方法[P]. 台湾：CN105717885A,2016-06-29.

[476]黄岚. 使用普那布林和紫杉烷的组合的癌症疗法[P]. 辽宁：CN105705148A,2016-06-22.

[477]查晓明,蓝斐,徐思远,周忱,徐云根. 巴比妥酸类化合物、制备方法及其应用[P]. 江苏：CN105541806A,2016-05-04.

[478]张玉宝,王亚军,刘维,谢忠奎,王若愚,郭志鸿,王乐. 一种百合李属坏死环斑病毒半定量检测金标卡及制备方法[P]. 甘肃：CN105527424A,2016-04-27.

[479]李永福,安昌浩,金德中. 哌嗪化合物的纳米颗粒组合物和制剂[P]. 美国：CN105530919A,2016-04-27.

[480]郑承剑,秦路平,李秀清,韩婷,辛海量,张巧艳,蒋益萍. 一种产麦角甾醇内生真菌及其应用[P]. 上海：CN105505798A,2016-04-20.

[481]M·克莱恩,R·沃德皮亚,H·居林,S·林德曼. 在关节病的情况下胃酶抑素的关节内施用[P]. 德国：CN105451754A,2016-03-30.

[482]W·麦吉. 用于癌症疗法的脂质体奥沙利铂组合物[P]. 美国：CN105451720A,2016-03-30.

[483]B.李,D.斯珀格,D.斯蒂芬迪斯,M.J.卡斯蒂尔,R.帕克达曼. SYK抑制剂的制剂[P]. 美国：CN105431137A,2016-03-23.

[484]田红旗,黄功超. 作为蛋白激酶抑制剂的杂环类化合物及其制备方法和用途[P]. 上海：CN105384738A,2016-03-09.

[485]周昌友,王韶辉,张国良. 作为RAF激酶抑制剂的稠合三环化合物[P]. 开曼群岛：CN105348299A,2016-02-24.

[486]J·J·克劳福德,W·李,W·B·杨. 杂芳基吡啶酮和氮杂-吡啶酮酰胺化合物[P]. 瑞士：CN105358545A,2016-02-24.

[487]罗伯特·L·胡德金斯,丹杜·R·雷迪,陶明,西奥多·L·安德里内尔,阿莉森·L·祖利. 稠合吡咯并咔唑类化合物及其制备方法[P]. 美国：CN105294702A,2016-02-03.

[488]赵斌,田文静,谢群慧,裴新辉,胡芹. 抗人芳香烃受体单克隆抗体及其用途[P]. 北京：CN105273083A,2016-01-27.

[489]朴瓒熙,李尚徽,任峻桓,李顺玉,金会汶,文圣贤,金胜熙,金锺旼,高广硕,崔富荣,金炳昊. 杂环衍生物及其用途[P]. 韩国：CN105283443A,2016-01-27.

[490]J·布莱克,J·N·斯卡特,L·沃尔利,N·J·维尔勒斯. 除草活性(炔基-苯基)-取代的环二酮化合物及其衍生物[P]. 英国：CN105263894A,2016-01-20.

[491]孙亚平,鲁亮,姚文庆,卓金聪,吴良兴,徐美忠,钱定权,张丰雷,何春红. 作为FGFR抑制剂的双环杂环[P]. 美国：CN105263931A,2016-01-20.

[492]吉田雅都,永宫裕之,大场雄介,濑户雅树,余乡能纪,佐佐木聪,德永礼仁,麻生和义. 杂环化合物[P]. 日本：CN105263932A,2016-01-20.

[493]克里斯托弗·约翰·布朗,大卫·菲利普·雷恩,柯淑婷,迪尔拉什·拉玛,钱德拉·谢卡尔·韦尔马. 钉合eIF4E相互作用肽[P]. 新加坡：CN105263950A,2016-01-20.

